Country,GDP_PerCapita_2000 US$,SuicideRate_2000,GDP_PerCapita_2005 US$,SuicideRate_2005,GDP_PerCapita_2010 US$,SuicideRate_2010,GDP per Capita 2015,SuicideRate_2015,GDP per Capita (US$),"Suicide Rate per 100,000 people",Continent,,Top 5 name,Top 5 gdp,Top 5 suicide,,Last 5 name,Last 5 gdp,Last 5 suicide,
Afghanistan,,5.7,242,6.3,543,5.1,578,4.8,547,5,Asia,,,,,,,,,1
Albania,1126.683318,5.5,2674,6.7,4094,7.8,3953,6,4124,6,Europe,,,,,,,,,
Algeria,1765.022577,4.1,3113,3.8,4481,3.3,4178,3.2,3949,3,Africa,,,,,,,,,
Argentina,7708.100996,9.5,5110,9,10386,8.7,13789,8.8,12790,9,South America,,,,,,,,,
Armenia,622.7421391,3.3,1644,4.4,3218,6,3607,7,3592,7,Asia,,,,,,,,,
Australia,21679.24784,13.2,33999,12.3,52022,12.5,56748,13.8,50020,13,Oceania,,,,,,,,,
Austria,24564.45829,20,38403,17.3,46858,16,44177,16,45103,16,Europe,,,,,,,,,
Azerbaijan,655.0974326,2.2,1578,3.2,5843,3.1,5500,2.7,3881,3,Asia,,,,,,,,,
Bahrain,13636.40824,6.7,17959,7,20722,5.2,22689,5.9,22619,6,Asia,,,,,,,,,
Bangladesh,418.0689683,6.7,499,6.3,781,6.4,1248,6.1,1402,6,Asia,,,,,,,,,
Barbados,11496.6024,2.1,14104,3.7,16056,2.1,16066,0.7,15847,1,North America,,,,,,,,,
Belarus,1276.288034,43.1,3126,45.1,6181,38.2,5949,26.3,5023,26,Europe,,,,,,,,,
Belgium,23207.40591,22.7,36967,21.2,44380,21.3,40441,20.1,41449,21,Europe,,,,,,,,,
Belize,3364.423711,5.5,3926,4.9,4331,4.9,4883,4.8,4904,5,North America,,,,,,,,,
Bolivia,,,,,,,,,1,1,South America,,,,,,,,,
Bosnia and Herzegovina,1467.776477,10.7,2981,9.3,4636,8,4727,8.9,4995,9,Europe,,,,,,,,,
Botswana,3522.308678,11.8,5520,12.6,6435,11.1,6800,9.7,7244,9,Africa,,,,,,,,,
Brazil,3749.75325,4.8,4790,5.5,11286,5.7,8814,6.5,8713,7,South America,,,,,,,,,
Brunei,18012.55626,2.8,26105,3.3,35270,3.7,31165,4.5,27157,5,Asia,,,,,,,,,
Bulgaria,1609.882452,18.5,3870,13.4,6843,12.5,6994,11.4,7469,12,Europe,,,,,,,,,
Burkina Faso,,,,,,,,,1,1,Africa,,,,,,,,,
Cambodia,302.5771636,5.6,474,5.9,786,5.4,1163,5.3,1270,5,Asia,,,,,,,,,
Cameroon,649.9918454,13.3,1012,11.9,1285,11.7,1327,12.3,1363,12,Africa,,,,,,,,,
Canada,24190.24962,13,36266,13.2,47450,13,43495,12.5,42280,13,North America,,,,,,,,,
Chad,165.7629866,8,658,8.5,892,8.7,776,8.9,693,9,Africa,,,,,,,,,
Chile,5074.901624,10.9,7599,10.6,12808,12.2,13574,10.9,13748,11,South America,,,,,,,,,
China,959.3724836,13.2,1753,11.7,4550,10.9,8033,9.6,8079,10,Asia,,,,,,,,,
Colombia,2520.480898,7.6,3404,6.7,6327,7.2,6176,8.3,5871,7,South America,,,,,,,,,
Comoros,645.8186908,5.1,1069,6.5,1315,6.6,1271,6.8,1287,7,Africa,,,,,,,,,
Costa Rica,3772.870012,7.3,4655,7.9,8142,8.6,11299,7.9,11666,8,North America,,,,,,,,,
Croatia,4873.053306,21.3,10521,20.2,13937,18.6,11780,17.8,12367,17,Europe,,,,,,,,,
Cuba,2747.098575,17.4,3787,13,5730,14.4,7694,13.7,8061,14,North America,,,,,,,,,
Cyprus,14388.3467,2.2,24959,2.6,30818,5.7,23217,4.9,24019,5,Asia,,,,,,,,,
Denmark,30743.54768,16,48800,16.2,58041,12.7,53255,11.9,54467,13,Europe,,,,,,,,,
Djibouti,768.1760767,5.8,905,5.9,1343,5.2,1787,6.4,1899,7,Africa,,,,,,,,,
Dominican Republic,2869.105861,9.1,3970,8.2,5568,8,6692,9.7,6958,10,North America,,,,,,,,,
Ecuador,1445.279324,6.1,3002,8.9,4634,8.5,6124,9.6,6060,7,South America,,,,,,,,,
El Salvador,2001.538009,13.4,2429,9.9,2983,10.8,3706,14,3800,14,North America,,,,,,,,,
Equatorial Guinea,1725.554738,15.5,10963,13.7,17272,16.7,11279,16.5,9244,16,Africa,,,,,,,,,
Eritrea,308.1337836,11.6,389,10.4,668,9,,8.1,1,8,Africa,,,,,,,,,
Estonia,4070.032827,29.5,10338,22.5,14639,18.3,17412,15.8,18228,18,Europe,,,,,,,,,
Eswatini,1728.70534,11.6,3084,12,4169,11.9,3641,13.1,3427,13,Africa,,,,,,,,,
Ethiopia,124.4608003,8,162,7.9,342,7.3,639,7.2,717,7,Africa,,,,,,,,,
Fiji,2076.568784,4.3,3660,3.5,3653,4.8,5391,5,5647,5,Oceania,,,,,,,,,
Finland,24253.25042,24.6,38969,20.4,46202,18.9,42495,14.4,43493,16,Europe,,,,,,,,,
France,22364.02939,22.3,34760,21.1,40638,20.2,36613,18,36962,18,Europe,,,,,,,,,
Gabon,4125.716664,6.7,6889,6.1,8841,6.9,7382,7.3,6980,7,Africa,,,,,,,,,
Georgia,749.8961143,6,1643,5,3074,6.9,3756,8.1,3857,8,Asia,,,,,,,,,
Germany,23718.7467,14.7,34697,13.6,41786,13.7,41395,13.8,42443,14,Europe,,,,,,,,,
Ghana,258.4709595,4,492,4.3,1298,4.7,1766,5.3,1931,5,Africa,,,,,,,,,
Greece,12042.95373,3.4,22552,3.5,26918,3.3,18168,4.8,18116,5,Europe,,,,,,,,,
Grenada,5057.173965,1.9,6644,2.7,7258,0.9,9097,1.1,9628,2,North America,,,,,,,,,
Greenland,,,,,,,,,1,1,North America,,,,,,,,,
Guatemala,1655.58773,3.2,2078,3.2,2826,2.9,3924,3.1,4141,3,North America,,,,,,,,,
Guinea,363.482479,6.3,322,6.8,672,6.6,769,6.4,733,6,Africa,,,,,,,,,
Guyana,954.4041525,23.4,1105,24.4,3033,26.8,4166,29.1,4543,29,South America,,,,,,,,,
Haiti,467.1475588,8.7,469,9.5,666,10.2,816,11.7,736,12,North America,,,,,,,,,
Honduras,1080.462129,2.3,1297,2.5,1891,2.5,2286,2.8,2326,3,North America,,,,,,,,,
Hungary,4633.312923,32.5,11206,26.7,13092,26,12504,20.3,12840,19,Europe,,,,,,,,,
Iceland,32018.06325,16.2,56659,12.2,43025,13.3,52429,14,61758,14,Europe,,,,,,,,,
India,443.314204,17.4,715,17.6,1358,16.5,1606,16.5,1729,16,Asia,,,,,,,,,
Indonesia,780.190201,3.9,1263,3.8,3122,3.6,3332,3.4,3563,3,Asia,,,,,,,,,
Iraq,,2.7,1856,2.5,4657,2.8,4990,3.1,4649,3,Asia,,,,,,,,,
Ireland,26241.36461,12.4,50878,11.9,48715,12,61995,11.5,63197,12,Europe,,,,,,,,,
Israel,21027.78173,7.5,20550,7.6,30659,7.3,35855,5,37372,5,Asia,,,,,,,,,
Italy,20051.24215,7.8,31959,7,35849,7.5,30171,8,30831,8,Europe,,,,,,,,,
Jamaica,3384.694861,2.3,4089,1.9,4697,2,4893,2.1,4842,2,North America,,,,,,,,,
Japan,38532.04088,24.7,37218,24.9,44508,24.4,34524,19.4,38794,19,Asia,,,,,,,,,
Jordan,1651.622443,3.4,2183,3.1,3656,2.8,4097,2.9,4110,3,Asia,,,,,,,,,
Kazakhstan,1229.000958,34,3771,39.4,9070,32.7,10511,24.9,7715,23,Asia,,,,,,,,,
Kenya,397.4826588,4.4,512,3.9,952,3.1,1337,3.1,1411,3,Africa,,,,,,,,,
Kiribati,796.8881748,13.7,1215,13.9,1517,14.5,1543,14.5,1585,14,Oceania,,,,,,,,,
Kuwait,18439.90039,2,35591,2.3,38577,1.9,29870,2.3,27653,2,Asia,,,,,,,,,
Latvia,3352.731296,34.7,7559,26.7,11326,22.7,13640,21.6,14134,21,Europe,,,,,,,,,
Lebanon,4491.637259,3,4574,3.1,7757,3.2,7650,3.3,7635,3,Asia,,,,,,,,,
Lesotho,436.488352,18,843,18.6,1183,20.1,1219,21,1120,21,Africa,,,,,,,,,
Liberia,306.8328947,5.7,295,6.8,513,6.5,710,6.5,715,7,Africa,,,,,,,,,
Libya,7142.774452,5.3,8163,5.6,12065,5.4,4338,4.2,4039,5,Africa,,,,,,,,,
Lithuania,3297.354701,50.7,7863,43.9,11985,37.3,14292,34.9,14983,32,Europe,,,,,,,,,
Luxembourg,48735.99549,16.8,80290,14.3,104965,12.9,100428,14.7,101306,14,Europe,,,,,,,,,
Madagascar,245.9390659,4.7,275,4.5,413,4.3,402,4,400,4,Africa,,,,,,,,,
Malawi,156.3857186,6.2,290,4.5,479,3.8,381,3.6,316,4,Africa,,,,,,,,,
Malaysia,4043.662051,5.3,5587,5.4,9041,5.1,9799,5.4,9671,6,Asia,,,,,,,,,
Maldives,2234.579866,4.4,3640,3.3,7077,3.2,9033,2.6,9283,2,Asia,,,,,,,,,
Mali,269.8711377,5.5,489,4.9,710,4.8,751,4.8,780,5,Africa,,,,,,,,,
Malta,11039.05651,6.5,15835,5.6,21088,8,24046,8,25129,8,Europe,,,,,,,,,
Mauritania,491.8427611,3.4,722,3.5,1241,3.9,1194,4.3,1136,4,Africa,,,,,,,,,
Mauritius,3929.075493,11.1,5283,8.8,8000,8.1,9260,8.5,9682,8,Africa,,,,,,,,,
Mexico,7157.8145,3.6,8278,4.3,9271,4.6,9606,5.6,8739,5,North America,,,,,,,,,
Mongolia,474.2168965,17.9,999,17.1,2643,16.6,3919,13.1,3660,13,Asia,,,,,,,,,
Montenegro,1627.072633,10.4,3675,11.4,6682,10.4,6514,10,7029,10,Europe,,,,,,,,,
Morocco,1334.943051,6.9,2018,5.3,2840,3.7,2875,2.9,2898,3,Africa,,,,,,,,,
Mozambique,283.2254824,8.8,377,6.7,432,5.6,547,4.9,392,5,Africa,,,,,,,,,
Myanmar,190.6062319,7.3,245,7.7,979,7.3,1133,7.6,1192,8,Asia,,,,,,,,,
Namibia,2136.440243,10.9,3674,10.4,5325,10.4,5033,9,4786,9,Africa,,,,,,,,,
Nepal,229.4902871,15.4,316,12.5,592,10.5,793,9.1,777,9,Asia,,,,,,,,,
Netherlands,26149.41108,9.8,41979,9.9,50950,10,45175,12.5,46008,13,Europe,,,,,,,,,
New Zealand,13641.10272,12.9,27751,13.3,33692,13,38560,12.1,40027,12,Oceania,,,,,,,,,
Nicaragua,1007.501429,17.2,1162,14.4,1504,12.5,2050,12.2,2108,12,North America,,,,,,,,,
Niger,158.7049748,4.6,250,4.9,347,4.9,361,4.7,362,5,Africa,,,,,,,,,
Nigeria,567.930736,10.2,1268,9.6,2292,10,2730,9.6,2176,10,Africa,,,,,,,,,
Norway,38146.71539,13.3,66775,12.7,87770,12.6,74522,12.4,70942,12,Europe,,,,,,,,,
Oman,8601.25417,4.3,12377,3.4,19281,3.7,16151,4.1,14722,4,Asia,,,,,,,,,
Pakistan,519.5343268,3.4,683,3.5,989,3.1,1357,2.9,1368,3,Asia,,,,,,,,,
Panama,4060.324493,6,4917,6.3,8082,5.1,13630,3.9,14356,4,North America,,,,,,,,,
Papua New Guinea,602.1869023,7.1,749,5.8,1949,5.4,2679,6,2510,6,Oceania,,,,,,,,,
Paraguay,1663.605252,10.1,1844,10.1,4356,9.3,5407,9.9,5319,10,South America,,,,,,,,,
Peru,1955.588006,5.1,2729,4.6,5082,4.6,6228,4.9,6205,5,South America,,,,,,,,,
Philippines,1038.90854,2.5,1194,2.6,2124,3.3,2867,3.2,2941,3,Asia,,,,,,,,,
Poland,4492.739632,16.9,8021,17.7,12600,18.6,12572,15.8,12432,16,Europe,,,,,,,,,
Portugal,11502.39681,7.5,18785,11.1,22539,13.5,19253,13.8,19977,14,Europe,,,,,,,,,
Qatar,29976.11704,3.4,51456,3.2,67403,6.1,63039,6.5,57163,7,Asia,,,,,,,,,
Romania,1659.90764,13.2,4618,12.5,8210,14,8977,11.6,9567,10,Europe,,,,,,,,,
Russia,1771.59783,52.6,5323,51.6,10675,40,9314,32.1,8745,31,Europe,,,,,,,,,
Rwanda,228.6377096,15.6,304,10.9,576,7.5,728,6.8,726,7,Africa,,,,,,,,,
Samoa,1542.066736,8.3,2574,6.5,3458,5,4155,4.5,4044,4,Oceania,,,,,,,,,
São Tomé and Príncipe,,2,867,1.8,1095,2,1596,2.3,1710,2,Africa,,,,,,,,,
Saudi Arabia,9171.330145,2.8,13791,3,19263,3.4,20628,3.2,19879,3,Asia,,,,,,,,,
Senegal,604.654066,7.7,994,8.1,1279,6.9,1219,6.2,1269,6,Africa,,,,,,,,,
Serbia,870.1363145,21,3720,18.8,5735,15.9,5585,15,5756,16,Europe,,,,,,,,,
Seychelles,7578.851053,8.7,11093,9.1,10805,9.4,14745,9.4,15078,9,Africa,,,,,,,,,
Sierra Leone,138.6986922,11.1,292,10.4,402,9.2,588,9.3,501,10,Africa,,,,,,,,,
Singapore,23852.32703,12.4,29961,11.6,47237,10,55647,9,56724,10,Asia,,,,,,,,,
Slovenia,10227.73677,32.4,18169,27.1,23437,20.7,20888,21,21618,19,Europe,,,,,,,,,
Solomon Islands,1054.388246,11.2,881,7.6,1290,5.8,1914,4.9,1990,5,Oceania,,,,,,,,,
Somalia,,4.7,,4.8,,4.3,293,4.7,296,5,Africa,,,,,,,,,
South Africa,3032.427138,11.6,5384,11.8,7329,12.2,5731,11.8,5273,12,Africa,,,,,,,,,
S. Sudan,,4.8,,4.6,1654,4.1,1155,3.7,283,4,Africa,,,,,,,,,
Spain,14676.70609,8.6,26511,8.1,30737,7,25817,8.1,26622,9,Europe,,,,,,,,,
Sri Lanka,869.6965166,28.8,1249,23.1,2800,19.1,3844,14.8,3886,15,Asia,,,,,,,,,
Sudan,366.1728076,7.9,689,8.4,1490,8,2487,8,2398,8,Africa,,,,,,,,,
Suriname,2012.260287,23.5,3591,26.5,8256,27,8562,23.8,5607,23,South America,,,,,,,,,
Sweden,29323.20776,15.6,43135,16.4,52133,15.3,50833,15.7,51618,15,Europe,,,,,,,,,
Switzerland,37868.32306,21.8,54953,20.8,74606,16.2,82082,17.1,80038,17,Europe,,,,,,,,,
Syria,1177.629268,1.3,1572,1.6,,1.9,,1.9,1,2,Asia,,,,,,,,,
Tajikistan,138.4288795,3,341,2.9,750,2.5,929,2.5,803,3,Asia,,,,,,,,,
Thailand,2007.736363,16.2,2894,12.7,5076,14.3,5840,14.6,5979,14,Asia,,,,,,,,,
Timor-Leste,497.1314157,9.3,1823,6.2,3657,5.3,2585,4.6,2053,5,Asia,,,,,,,,,
Togo,302.2063943,9.6,406,9.9,534,9.5,571,9.4,588,10,Asia,,,,,,,,,
Tonga,2065.502661,3.6,2598,3.4,3553,3.6,4321,3.5,3966,4,Oceania,,,,,,,,,
Trinidad and Tobago,6435.164683,14.9,12327,12.3,16683,14.5,18332,13.6,15786,14,North America,,,,,,,,,
Tunisia,2211.826817,3.5,3193,3.6,4142,3.6,3860,3.4,3699,3,Africa,,,,,,,,,
Turkey,4316.548908,7.2,7384,7.6,10672,8.4,10949,7.3,10821,7,Asia,,,,,,,,,
Turkmenistan,643.174726,9.1,1704,11.7,4439,7.6,6433,7.2,6390,7,Asia,,,,,,,,,
Uganda,261.8689977,11.1,326,10.5,622,10.5,709,9.9,609,10,Africa,,,,,,,,,
Ukraine,635.7089635,36.9,1827,34.5,2965,27.1,2125,23.1,2188,22,Europe,,,,,,,,,
United Arab Emirates,33291.41937,3.2,39365,3.1,33893,3,38663,2.8,38142,3,Asia,,,,,,,,,
United Kingdom,27987.75116,9.1,41804,8.2,39080,7.8,44472,8.7,40540,9,Europe,,,,,,,,,
United States of America,36334.90878,11.3,44115,11.9,48467,13.2,56803,15,57904,15,North America,,,,,,,,,
Uruguay,6875.021328,17.4,5227,15.3,11992,16.6,15614,19.4,15387,18,South America,,,,,,,,,
Uzbekistan,558.2268024,7.6,547,5.8,1377,6,2615,7.4,2568,7,Asia,,,,,,,,,
Vanuatu,1470.572265,7.3,1887,5.7,2967,5.1,2722,4.5,2831,5,Oceania,,,,,,,,,
Venezuela,,,,,,,,,1,1,South America,,,,,,,,,
Zambia,345.6895544,8.1,703,6.5,1489,6.3,1332,6.1,1281,6,Africa,,,,,,,,,
Zimbabwe,563.0577411,12.9,477,13.9,948,11.9,1445,10.6,1465,11,Africa,,,,,,,,,
Angola,,,,,,,,,1,1,Africa,,,,,,,,,
Benin,,,,,,,,,1,1,Africa,,,,,,,,,
Congo,,,,,,,,,1,1,Africa,,,,,,,,,
Tanzania,,,,,,,,,1,1,Africa,,,,,,,,,
Iran,,,,,,,,,1,1,Asia,,,,,,,,,
Central African Rep.,,,,,,,,,1,1,Africa,,,,,,,,,
Dem. Rep. Congo,,,,,,,,,1,1,Africa,,,,,,,,,
Cote D'ivoire,,,,,,,,,1,1,Africa,,,,,,,,,
